OBJECTID,FID2,NUMBER,LATITUDE,LONGITUDE,SITEATS,CITY_SITE,FACING,AREA,ADVERTISER
1,663,LA-0664,34.19462,-118.58843,NB  De Soto  FS  Vanowen -NE,L.A. Valley West,South,CD-03,MOM L.A.
2,681,LA-0682,34.20065,-118.6234,SB  Fallbrook  FS  Sherman Way -SW,L.A. Valley West,East,CD-03,Jerry Gooze
3,682,LA-0683,34.20065,-118.6234,SB  Fallbrook  FS  Sherman Way -SW,L.A. Valley West,East,CD-03,Jerry Gooze
4,711,LA-0712,34.15238,-118.60487,EB  Mulholland D  NS  Topanga -SW,L.A. Valley West,East,CD-03,MOM L.A.
5,771,LA-0772,34.21597,-118.53582,NB  Reseda Blvd FS  Strathern -NE,L.A. Valley West,South,CD-03,MOM L.A.
6,774,LA-0775,34.19457,-118.53592,NB  Reseda Blvd FS  Vanowen -NE,L.A. Valley West,South,CD-03,MOM L.A.
7,784,LA-0785,34.22005,-118.5801,EB  Roscoe  NS  Mason -SW,L.A. Valley West,East,CD-03,Sean Sullivan
8,1505,LA-1506,34.15804,-118.37023,NB  Vineland  FS  Camarillo -NE,L.A. Valley East,South,CD-04,MOM L.A.
9,1542,LA-1543,34.06147,-118.31958,EB  Wilshire  FS  Dunsmuir -SE,L.A. Central,West,CD-04,MOM L.A.
10,1548,LA-1549,34.06147,-118.31958,EB  Wilshire  NS  La Brea -SW,L.A. Central,East,CD-04,Diamond Foam & Fabrics
11,1551,LA-1552,34.06147,-118.31958,WB  Wilshire  FS  Lorraine -NW,L.A. Central,North,CD-04,MOM L.A.
12,1563,LA-1564,34.06505,-118.31414,SB  Wilton Pl.  FS  3rd Street -SW,L.A. Central,East,CD-04,MOM L.A.
13,1588,LA-1589,34.07271,-118.36978,WB  3rd St NS  Sweetzer Ave-NE,L.A. Central,South,CD-04,MOM L.A.
14,2352,LA-2353,34.23452,-118.37167,SB  Tuxford  NS  Glenoaks-NW,L.A. Valley East,North,CD-06,MOM L.A.
15,2364,LA-2365,34.22524,-118.44868,NB  Van Nuys Blvd FS Chase-NE,L.A. Valley West,South,CD-06,MOM L.A.
16,2370,LA-2371,34.24384,-118.45039,SB  Van Nuys Blvd NS Novice-NW,L.A. Valley West,North,CD-06,MOM L.A.
17,2390,LA-2391,34.19384,-118.48392,EB  Vanowen  NS  Woodley -SW,L.A. Valley West,East,CD-06,MOM L.A.
18,3201,LA-3202,34.04763,-118.32334,WB  Pico  NS  Norton -NE,L.A. South,South,CD-10,MOM L.A.
19,3212,LA-3213,34.05016,-118.34447,EB  San Vicente  NS  La Brea -SW,L.A. South,East,CD-10,MOM L.A.
20,3214,LA-3215,34.02569,-118.39513,WB Venice NS  Bagley Ave-NE,L.A. Central,South,CD-10,MOM L.A.
21,3240,LA-3241,34.03759,-118.37409,WB  Venice  NS  Cadillac -NE,L.A. South,South,CD-10,MOM L.A.
22,3245,LA-3246,34.04494,-118.35373,WB  Venice  NS  Cochran -NE,L.A. South,South,CD-10,MOM L.A.
23,3260,LA-3261,34.03532,-118.37748,EB Venice  FS La Cienega -SE,L.A. South,West,CD-10,MOM L.A.
24,3278,LA-3279,34.06004,-118.29154,NB  Vermont  FS  7th St. -NE,L.A. Central,South,CD-10,MOM L.A.
25,4071,LA-4072,34.25743,-118.50191,EB  Devonshire  FS  Balboa -SE,L.A. South,West,CD-12,MOM L.A.
26,4087,LA-4088,34.25756,-118.48893,WB  Devonshire  NS  Gothic -NE,L.A. South,South,CD-12,MOM L.A.
27,4106,LA-4107,34.25714,-118.2802,EB  Devonshire  NS  Mason -SW,L.A. Valley East,East,CD-12,David Proctor
28,4117,LA-4118,34.25737,-118.56622,WB  Devonshire  NS  Oakdale -NE,L.A. Valley West,South,CD-12,ReMAX:OLSON
29,4866,LA-4867,34.14279,-118.22453,WB  Colorado  FS  Broadway -NW,L.A. East,North,CD-13,MOM L.A.
30,4946,LA-4947,34.01877,-118.1952,WB  Olympic  NS  Los Palos -NE,L.A. East,South,CD-14,MOM L.A.
31,4947,LA-4948,34.02598,-118.2322,EB  Olympic  NS  Mateo -SW,L.A. East,East,CD-14,MOM L.A.
32,4961,LA-4962,34.03439,-118.21568,NB  Soto  FS  Whittier -NE,L.A. East,South,CD-14,MOM L.A.
33,4963,LA-4964,34.05011,-118.21512,NB  State  FS  Cesar Chavez -NE,L.A. East,South,CD-14,MOM L.A.
34,4972,LA-4973,34.05886,-118.23233,SB  Vignes  FS  Bauchet -SW,L.A. East,East,CD-14,Central Jail Bail Bonds
35,4997,LA-4998,34.12066,-118.20264,WB  York  NS  Ave. 52 -NE,L.A. East,South,CD-14,MOM L.A.
36,5002,LA-5003,34.13286,-118.19934,WB  Yosemite  NS  Floristan -NE,L.A. East,South,CD-14,MOM L.A.
37,5033,LA-5034,33.72168,-118.29946,WB  25th St FS  Alma -NW,L.A. Valley East,North,CD-14,MOM L.A.
38,5041,LA-5042,33.73795,-118.28551,WB  7th St NS  Mesa -NE,L.A. Valley East,South,CD-14,MOM L.A.
39,5049,LA-5050,33.78106,-118.24123,EB  Anaheim  FS  Henry Ford -SE,L.A. South Bay,West,CD-14,MOM L.A.
40,5073,LA-5074,33.83137,-118.30874,EB  Carson  FS  Western -SE,L.A. South Bay,West,CD-14,Action Investment Realty
41,5074,LA-5075,33.83136,-118.30876,EB  Carson  FS  Western -SE,L.A. South Bay,West,CD-14,The Swedish Car Clinic
42,5096,LA-5097,33.8818,-118.28729,WB  Gardena  FS  Hoover -NW,L.A. South Bay,North,CD-15,MOM L.A.
43,5112,LA-5113,33.79042,-118.29738,NB  Normandie  FS  Pacific Coast Highway -NE,L.A. Valley East,South,CD-15,T-Shirt Wholesales Outlet
44,5142,LA-5143,33.79109,-118.24791,WB  Pacific Coast Hwy NS Watson-NE,L.A. South Bay,South,CD-15,MOM L.A.
45,5153,LA-5154,33.73401,-118.2879,NB  Pacific  NS  11th St. -SE,L.A. Valley East,West,CD-15,MOM L.A.
46,5154,LA-5155,33.73084,-118.28808,SB  Pacific  NS  15th St. -NW,L.A. Valley East,North,CD-15,Community Choice
47,5155,LA-5156,33.72902,-118.28808,SB  Pacific  NS  17th St. -NW,L.A. Valley East,North,CD-15,MOM L.A.
48,5156,LA-5157,33.72906,-118.28808,SB  Pacific  NS  17th St. -NW,L.A. Valley East,North,CD-15,MOM L.A.
49,5213,LA-5214,33.72687,-118.31108,NB  Western Ave NS  19th St. -SE,L.A. Valley East,West,CD-15,Catherine Bennson
50,5265,LA-5266,34.15752,-118.45279,EB 101 Fwy S Ent @ Van Nuys -Ramp,L.A. Valley West, ,CD-15,Amir Sole
51,5278,LA-5279,34.27618,-118.37816,WB Foothill  NS Osborne -NE,L.A. South,South,CD-15,Catalina Paints
52,5285,LA-5286,34.2012,-118.60587,NB Topanga Canyon FS Sherman Way-NE,L.A. Valley West,South,CD-15,Catalina Paints
