id,Geographic Area Name,County,City,City Clean,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Dial-up with no other type of Internet subscription,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Dial-up with no other type of Internet subscription,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription,"Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Broadband such as cable, fiber optic or DSL",Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Satellite Internet service,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Satellite Internet service,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription,Notes
7950000US0603701,"Los Angeles County (North/Unincorporated)--Castaic PUMA, California",Los Angeles County (North/Unincorporated),"Castaic PUMA, California",Castaic ,N/A (Original Value 1),2251.0,80.0,135.0,36275.0,2251.0,30867.0,2221.0,4074.0,1171.0,30170.0,2004.0,4346.0,849.0,4356.0,1156.0,Data Entry Error
7950000US0603702,"Los Angeles County (Northwest)--Santa Clarita City PUMA, California",Los Angeles County (Northwest),"Santa Clarita City PUMA, California",Santa Clarita City ,60514,2244.0,0.0,216.0,60514.0,2244.0,56012.0,2292.0,8098.0,1549.0,50979.0,2174.0,4930.0,1148.0,3195.0,1080.0,
7950000US0603703,"Los Angeles County (North Central)--Lancaster City PUMA, California",Los Angeles County (North Central),"Lancaster City PUMA, California",Lancaster City ,44881,2428.0,595.0,499.0,44286.0,2497.0,27941.0,2500.0,4545.0,1045.0,37199.0,2675.0,5355.0,1268.0,7712.0,1847.0,
7950000US0603704,"Los Angeles County (North Central)--Palmdale City PUMA, California",Los Angeles County (North Central),"Palmdale City PUMA, California",Palmdale City ,41565,2078.0,461.0,485.0,41104.0,2123.0,34722.0,2360.0,5630.0,1480.0,33790.0,2011.0,3854.0,1007.0,4671.0,1036.0,
7950000US0603705,"Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch) PUMA, California",Los Angeles County (North),"LA City (Northwest/Chatsworth & Porter Ranch) PUMA, California",Northwest/Chatsworth & Porter Ranch,57105,2234.0,81.0,97.0,57024.0,2233.0,53758.0,2294.0,5548.0,1441.0,49729.0,2360.0,5993.0,1312.0,4243.0,1250.0,
7950000US0603706,"Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar) PUMA, California",Los Angeles County (North),"LA City (North Central/Granada Hills & Sylmar) PUMA, California",North Central/Granada Hills & Sylmar,37675,2335.0,27.0,45.0,37648.0,2337.0,35744.0,2296.0,3898.0,882.0,33410.0,2412.0,2124.0,668.0,3947.0,1134.0,
7950000US0603707,"Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA, California",Los Angeles County,"LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA, California",LA (North Central/Arleta & Pacoima) & San Fernando Cities ,29427,1991.0,89.0,104.0,29338.0,1980.0,27500.0,2088.0,4266.0,980.0,24423.0,2008.0,2283.0,664.0,5093.0,1238.0,
7950000US0603708,"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA; California",Los Angeles County (North),"LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA; California","Northeast/Sunland, Sun Valley & Tujunga",36104,2576.0,63.0,77.0,36041.0,2599.0,33632.0,2532.0,4298.0,829.0,30536.0,2408.0,3670.0,750.0,3670.0,1046.0,
7950000US0603709,"Los Angeles County (Central)--San Gabriel Valley Region (North) PUMA, California",Los Angeles County (Central),"San Gabriel Valley Region (North) PUMA, California",San Gabriel Valley Region (North) ,36288,2271.0,0.0,216.0,36288.0,2271.0,33992.0,2308.0,1817.0,567.0,33543.0,2209.0,4527.0,1097.0,3555.0,1255.0,
7950000US0603710,"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA; California",Los Angeles County,"Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA; California","Baldwin Park, Azusa, Duarte & Irwindale Cities ",42443,2218.0,208.0,157.0,42235.0,2237.0,40343.0,2191.0,7713.0,1136.0,33036.0,2287.0,5266.0,984.0,6739.0,1235.0,
