OBJECTID,org_name,Name,addrln1,addrln2,city,state,url,zip,link,latitude,longitude
1836,www.lbpl.org,Long Beach Public Library,101 Pacific Ave.,,Long Beach,CA,www.lbpl.org,90822,http://egis3.lacounty.gov/lms/?p=1992,33.767714,-118.194311
2077,LA City Department Recreation and Parks,Jim Gilliam Recreational and Senior Center,4000 S. La Brea Ave.,,Los Angeles,CA,www.laparks.org/dos.htm,90008,http://egis3.lacounty.gov/lms/?p=2210,34.01334995,-118.35473535
2184,www.lbpl.org,Long Beach Public Library - North Neighborhood Library,5571 Orange Ave.,,Long Beach,CA,www.lbpl.org,90805,http://egis3.lacounty.gov/lms/?p=2473,33.857588,-118.177563
2209,www.lbpl.org,Long Beach Public Library - Mark Twain Neighborhood Library,1401 E. Anaheim St.,,Long Beach,CA,www.lbpl.org,90813,http://egis3.lacounty.gov/lms/?p=2492,33.782838,-118.17399
2211,www.lbpl.org,Long Beach Public Library - El Dorado Neighborhood Library,2900 Studebaker Rd.,,Long Beach,CA,www.lbpl.org,90815,http://egis3.lacounty.gov/lms/?p=2493,33.80641,-118.095246
2228,www.lbpl.org,Long Beach Public Library - Bret Harte Neighborhood Library,1595 W. Willow St.,,Long Beach,CA,www.lbpl.org,90810,http://egis3.lacounty.gov/lms/?p=2509,33.80467,-118.214043
2267,www.lbpl.org,Long Beach Public Library - Bay Shore Neighborhood Library,195 Bay Shore Ave.,,Long Beach,CA,www.lbpl.org,90803,http://egis3.lacounty.gov/lms/?p=2545,33.758041,-118.130539
2269,www.lbpl.org,Long Beach Public Library - Brewitt Neighborhood Library,4036 E. Anaheim St.,,Long Beach,CA,www.lbpl.org,90804,http://egis3.lacounty.gov/lms/?p=2546,33.782363,-118.145046
2271,www.lbpl.org,Long Beach Public Library - Alamitos Neighborhood Library,1836 E. 3rd St.,,Long Beach,CA,www.lbpl.org,90802,http://egis3.lacounty.gov/lms/?p=2547,33.768779,-118.168523
2273,www.lbpl.org,Long Beach Public Library - Burnett Neighborhood Library,560 E. Hill St.,,Long Beach,CA,www.lbpl.org,90806,http://egis3.lacounty.gov/lms/?p=2548,33.79687,-118.185782
2275,www.lbpl.org,Long Beach Public Library - Los Altos Neighborhood Library,5614 Britton Dr,,Long Beach,CA,www.lbpl.org,90815,http://egis3.lacounty.gov/lms/?p=2549,33.79333298,-118.1225569
2287,www.lbpl.org,Long Beach Public Library - Ruth Bach Neighborhood Library,4055 Bellflower Blvd.,,Long Beach,CA,www.lbpl.org,90808,http://egis3.lacounty.gov/lms/?p=2565,33.831261,-118.12951
2383,www.lbpl.org,Long Beach Public Library - Dana Neighborhood Library,3680 Atlantic Ave.,,Long Beach,CA,www.lbpl.org,90807,http://egis3.lacounty.gov/lms/?p=2654,33.823994,-118.184596
12485,LA County,LA County Library - Agoura Hills Library,29901 Ladyface Ct,,Agoura Hills,CA,https://lacountylibrary.org/agoura-hills-library/,91301,http://egis3.lacounty.gov/lms/?p=13303,34.14320503,-118.7753314
58133,City of Los Angeles,Watts Senior Center,1657 E. Century Blvd.,,Los Angeles,CA,www.laparks.org/dos/senior/senior.htm,90002,http://egis3.lacounty.gov/lms/?p=59561,33.94561565,-118.3060273
58142,City of Los Angeles,Mt. Carmel Senior Center,830 W. 70Th St.,,Los Angeles,CA,www.laparks.org/dos/senior/senior.htm,90044,http://egis3.lacounty.gov/lms/?p=59569,33.97625974,-118.2883684
58408,www.downeylibrary.org,Downey City Library,11121 Brookshire Ave.,,Downey,CA,www.downeylibrary.org,90241,http://egis3.lacounty.gov/lms/?p=59877,33.938984,-118.129238
59541,www.torranceca.gov/Library/,Torrance Public Library - Henderson Branch,4805 Emerald St.,,Torrance,CA,www.torranceca.gov/Library/,90503,http://egis3.lacounty.gov/lms/?p=60796,33.841535,-118.364665
59543,www.torranceca.gov/Library/,Torrance Public Library - Southeast Branch,23115 S. Arlington Ave.,,Torrance,CA,www.torranceca.gov/Library/,90501,http://egis3.lacounty.gov/lms/?p=60797,33.815541,-118.320077
59545,www.torranceca.gov/Library/,Torrance Public Library - Walteria Branch,3815 W. 242nd St.,,Torrance,CA,www.torranceca.gov/Library/,90505,http://egis3.lacounty.gov/lms/?p=60798,33.804527,-118.353497
59547,www.torranceca.gov/Library/,Torrance Public Library - El Retiro Branch,126 Vista Del Parque,,Redondo Beach,CA,www.torranceca.gov/Library/,90277,http://egis3.lacounty.gov/lms/?p=60799,33.815523,-118.378944
59549,www.torranceca.gov/Library/,Torrance Public Library - North Torrance Branch,3604 Artesia Blvd.,,Torrance,CA,www.torranceca.gov/Library/,90504,http://egis3.lacounty.gov/lms/?p=60800,33.872545,-118.335601
59551,www.torranceca.gov/Library/,Torrance Public Library - Katy Geissert Civic Center Library,3301 Torrance Blvd.,,Torrance,CA,www.torranceca.gov/Library/,90503,http://egis3.lacounty.gov/lms/?p=60801,33.837644,-118.343297
59617,library.elsegundo.org/,El Segundo Public Library,111 W. Mariposa Ave.,,El Segundo,CA,library.elsegundo.org/,90245,http://egis3.lacounty.gov/lms/?p=60835,33.923746,-118.416106
59970,www.alhambralibrary.org,Alhambra Civic Center Library,101 S. First St.,,Alhambra,CA,www.alhambralibrary.org,91801,http://egis3.lacounty.gov/lms/?p=61138,34.09317309,-118.12748592
59973,library.ci.arcadia.ca.us,City Of Arcadia Public Library,20 W. Duarte Rd.,,Arcadia,CA,library.ci.arcadia.ca.us,91006,http://egis3.lacounty.gov/lms/?p=61139,34.128619,-118.032324
59977,www.bhpl.org,City Of Beverly Hills Public Library,444 N. Rexford Dr.,,Beverly Hills,CA,,90210,http://egis3.lacounty.gov/lms/?p=61140,34.07266,-118.400312
59982,www.cerritos.us/library,City Of Cerritos Library,18025 Bloomfield Ave,,Cerritos,CA,www.cerritos.us/library,90703,http://egis3.lacounty.gov/lms/?p=61143,33.86692968,-118.0643829
