OBJECTID,Area_Acres,Park_ID,Address,Name,Park_Class,ACRES
1,8.4333635,512,23751 Ingomar St,Lazy J Ranch Park,N,8.4333635
2,1.38737377,883,Adjacent to Angels Gate Park at 3400 Gaffey Street,Lookout Point Park,N,1.38737377
3,3.17386107,320,1464 E 109th Street,109th Street Recreation Center,N,3.17386107
4,0.1548711,366,4726 8th Avenue,Angeles Mesa Park,N,0.1548711
5,0.96072542,213,4800 S. Hoover St,Julian C. Dixon Park,N,0.96072542
6,0.34030051,851,624 E. 6th Street,6th & Gladys Street Park,N,0.34030051
7,16.45926122,383,8800 S Hoover Street,Algin Sutton Recreation Center,C,16.45926122
8,60.4493581,751,18041 Rinaldi St,Aliso Canyon Park,R,60.4493581
9,0.04295563,852,1304 Pleasant Avenue,Aliso Triangle,N,0.04295563
10,6.65413078,500,22102 Alizondo Dr,Alizondo Drive Park,N,6.65413078
11,1.93660659,700,817 Yale St.,Alpine Recreation Center,N,1.93660659
12,0.90997057,701,1342 South Alvarado Terrace,Alvarado Terrace Park,N,0.90997057
13,1.61883222,317,828 S. Mesa St.,Anderson Memorial Senior Citizen Center,N,1.61883222
14,2.19884341,550,10940 N Sepulveda Blvd,Andres Pico Adobe,N,2.19884341
15,1.43585094,110,15920 Asilomar Blvd,Palisades-Asilomar Park,N,1.43585094
16,10.74680555,166,1300 Dodson Ave.,Averill Park,C,10.74680555
17,152.65598594,806,16821 Burbank Blvd,Balboa Golf Course,R,152.65598594
18,10.86787423,167,5401 Highlight Place,Baldwin Hills Recreation Center,C,10.86787423
19,21.09132548,313,1331 Eubank Ave.,Banning Park,C,21.09132548
20,14.59294107,226,4800 Hollywood Blvd,Barnsdall Park,C,14.59294107
21,18.64279132,108,333 S Barrington Ave,Barrington Recreation Center,C,18.64279132
22,122.78202572,501,24544 Bell Canyon Rd,Bell Canyon Park,R,122.78202572
23,9.10690806,168,826 Lucille Ave,Bellevue Recreation Center,N,9.10690806
24,85.73617504,650,2448 N Angelo Dr,Beverly Glen Park,R,85.73617504
25,0.6958894,800,14740 W. Blythe St,Andres and Maria Cardenas Recreation Center,N,0.6958894
26,17.71013308,551,15174 San Fernando Mission Rd,Brand Park,C,17.71013308
27,13.37632046,801,13310 Branford St,Branford Park,C,13.37632046
28,10.75279848,170,461 Almaden Ct,Briarwood Park,C,10.75279848
29,0.78742723,879,4301 Via Marisol,Budd Weiner Park,N,0.78742723
30,1.56334578,290,11480 Tiara St,Tiara Street Site,N,1.56334578
31,0.73423859,280,3919 Lankershim Blvd,Campo De Cahuenga,N,0.73423859
32,0.13093986,140,401 Linnie Canal Wk,Canal Park,N,0.13093986
33,0.77476767,504,7326 Jordan Ave,Canoga Park Senior Citizen Center,N,0.77476767
34,23.80027163,552,15035 Crestknoll Dr,Carey Ranch Park,C,23.80027163
35,3.08608076,506,24220 1/2 Clarington Dr,Castle Peak Park,N,3.08608076
