OBJECTID,ZONE_CMPLT,ZONE_CLASS,ZONE_SMRY,SHAPE_Length,SHAPE_Area
1,(F)CM-1-CUGU,CM,INDUSTRIAL,0.0013763890713816,1.13595498717984e-07
2,(F)CM-1-CUGU,CM,INDUSTRIAL,0.0013764484089535,1.13606344347395e-07
3,(F)CM-1-CUGU,CM,INDUSTRIAL,0.0011017011677876,5.68065143961031e-08
4,(F)CM-1-CUGU,CM,INDUSTRIAL,0.0011016723652971,5.68045526977771e-08
5,(F)CM-1-CUGU,CM,INDUSTRIAL,0.0013764710700663,1.1361502004281e-07
6,(F)CM-1-CUGU,CM,INDUSTRIAL,0.0013764760795683,1.13614180751323e-07
7,(F)CM-1-CUGU,CM,INDUSTRIAL,0.0015820600048402,1.36046311511788e-07
8,(F)CM-1-HPOZ,CM,INDUSTRIAL,0.0010499791057694,5.4304942418824e-08
9,(F)CM-1-HPOZ,CM,INDUSTRIAL,0.0022015331353149,2.71791315479656e-07
10,(F)CM-1-O-HPOZ,CM,INDUSTRIAL,0.0012872229116438,1.049222117927e-07
11,(F)R2-1-RIO,R2,RESIDENTIAL,0.0030836055222242,5.45294130614044e-07
12,(F)R2-1-RIO,R2,RESIDENTIAL,0.0028088322989348,3.6351109321208e-07
13,(F)R2-1-RIO,R2,RESIDENTIAL,0.00335837773091,6.81632736400171e-07
14,(F)RE11-1,RE11,RESIDENTIAL,0.002196565700925,2.03976985166643e-07
15,(F)RE11-1,RE11,RESIDENTIAL,0.0022403505236741,2.22338829480372e-07
16,(Q)A1-1VLD,A1,AGRICULTURE,0.0087074707791524,3.0424494164995e-06
17,(Q)A2-1,A2,AGRICULTURE,0.007493591424375,2.91810021403452e-06
18,(Q)C1-1-RIO,C1,COMMERCIAL,0.000495091507948,1.19176746626563e-08
19,(Q)C1-1,C1,COMMERCIAL,0.0010230293585516,5.67802501703006e-08
20,QC1-1VL-RIO,C1,COMMERCIAL,0.001073267217146,7.15824437049656e-08
21,(Q)C1-1,C1,COMMERCIAL,0.0015939160542679,9.59056668007736e-08
22,C1-1-SN-CPIO,C1,COMMERCIAL,0.0059774082255512,1.51940111115605e-06
23,(Q)C1-1XL,C1,COMMERCIAL,0.0032383161105339,4.96328632655707e-07
24,(Q)C1-1-O-CA,C1,COMMERCIAL,0.0008625769293256,4.16429269630606e-08
25,(Q)C1-1L,C1,COMMERCIAL,0.0016802036512556,1.67826899878963e-07
26,(Q)C1-1L,C1,COMMERCIAL,0.0013401305347234,6.30884950841327e-08
27,(Q)C1-1VL,C1,COMMERCIAL,0.0016447517414775,1.69078740845629e-07
28,QC1-1VL,C1,COMMERCIAL,0.00088256308513,4.45918200456314e-08
29,(Q)C1-1L,C1,COMMERCIAL,0.0013113668015011,8.91230316691489e-08
30,(Q)C1-1VL-RIO,C1,COMMERCIAL,0.0010663919026081,6.83857453303692e-08
31,(Q)C1-1VL,C1,COMMERCIAL,0.0010502118508753,5.32728358125278e-08
32,QC1-1VL-RIO,C1,COMMERCIAL,0.0022067180258121,2.02225380832228e-07
33,(Q)C1-1VL,C1,COMMERCIAL,0.0018953298707195,2.23171819624897e-07
34,(Q)C1-1VL,C1,COMMERCIAL,0.0018736799964985,1.96640592359232e-07
35,QC1-1VL,C1,COMMERCIAL,0.0018065254001659,2.07523073408975e-07
36,QC1-1VL,C1,COMMERCIAL,0.0019269398016655,2.31835124561593e-07
37,(Q)C1-1VL,C1,COMMERCIAL,0.0006979522185942,2.47396480153876e-08
38,(Q)C1-1VL,C1,COMMERCIAL,0.002705335364743,3.6861694276565e-07
39,(Q)C1-1VL-K,C1,COMMERCIAL,0.0022019225138935,2.14614336242735e-07
40,(Q)C1-1VLD,C1,COMMERCIAL,0.003524474529382,7.73796793461552e-07
41,(Q)C1-1VLD,C1,COMMERCIAL,0.003539509110571,6.94640185530808e-07
42,(Q)C1-1VLD,C1,COMMERCIAL,0.0030442847096575,5.72683060647649e-07
43,(Q)C1-1VLD,C1,COMMERCIAL,0.0098058767317466,4.30758031689591e-06
44,(Q)C1.5-1,C1.5,COMMERCIAL,0.0011507007059548,7.92031660693584e-08
45,(Q)C1.5-1,C1.5,COMMERCIAL,0.0050799714081041,9.17432630258966e-07
46,(Q)C1.5-1VL,C1.5,COMMERCIAL,0.0016105920208875,1.33934005971785e-07
47,(Q)C1.5-1VL,C1.5,COMMERCIAL,0.0017011743492843,1.75864974283895e-07
48,(Q)C1.5-1VLD,C1.5,COMMERCIAL,0.0027667467165798,4.65119069504801e-07
49,(Q)C2-1,C2,COMMERCIAL,0.0012676086286387,7.19756534747908e-08
50,(Q)C2-1,C2,COMMERCIAL,9.11441255881769e-05,4.5100783519849403e-10
51,(Q)C2-1,C2,COMMERCIAL,0.0013159160571557,9.59283288774725e-08
52,(Q)C2-1,C2,COMMERCIAL,0.0014748577400192,1.26384488995897e-07
53,C2-2D-CPIO,C2,COMMERCIAL,0.0050919305734403,1.54947710996787e-06
54,(Q)C2-1,C2,COMMERCIAL,0.0061199537224736,1.65214084626588e-06
55,(Q)C2-1,C2,COMMERCIAL,0.0012239714395558,6.66371546505081e-08
56,(Q)C2-1,C2,COMMERCIAL,0.001528947967247,1.35593668455653e-07
57,(Q)C2-1,C2,COMMERCIAL,0.0015086151284026,1.39608752234308e-07
58,(Q)C2-1,C2,COMMERCIAL,0.0029102804124585,3.59974691005477e-07
59,(Q)C2-1,C2,COMMERCIAL,0.001238722980949,6.12981499106593e-08
60,(Q)C2-1,C2,COMMERCIAL,0.002035620598066,2.35979987349221e-07
61,(Q)C2-1,C2,COMMERCIAL,0.0012326696376326,6.58034852810249e-08
62,(Q)C2-1,C2,COMMERCIAL,0.0005498294901776,1.58820316205466e-08
63,(Q)C2-1VLD,C2,COMMERCIAL,0.0014724090853305,1.30189718969741e-07
64,(Q)C2-1,C2,COMMERCIAL,0.0029863902571903,3.69571510807097e-07
65,(Q)C2-1,C2,COMMERCIAL,0.0027232888141078,4.39639642529579e-07
66,(Q)C2-1VL-RIO,C2,COMMERCIAL,0.0022003768497717,2.20585864664552e-07
67,[Q]C2-1VL,C2,COMMERCIAL,0.0012109744743328,9.08707093078039e-08
68,(Q)C2-1,C2,COMMERCIAL,0.002787723973313,3.90542415313389e-07
69,(Q)C2-1VL-CUGU,C2,COMMERCIAL,0.002814128488879,3.11156378766835e-07
70,(Q)C2-1,C2,COMMERCIAL,0.000115744042121,4.09132811288994e-10
71,(Q)C2-1,C2,COMMERCIAL,0.0001334200971428,7.278089770327211e-10
72,(Q)C2-1,C2,COMMERCIAL,0.0029665828336993,4.11470375008093e-07
73,[Q]C2-1VL,C2,COMMERCIAL,0.0001625658535041,1.35304295368801e-09
74,[Q]C2-1VL,C2,COMMERCIAL,9.52714243226301e-05,5.31824164275457e-10
75,(Q)C2-1VL-CUGU,C2,COMMERCIAL,0.0049974691123312,4.69347037091244e-07
76,C1-1XL-CPIO,C1,COMMERCIAL,0.0035354869497989,7.05806114513123e-07
77,(Q)C2-1-CPIO,C2,COMMERCIAL,0.0016442026098161,1.56974521110599e-07
78,C2-1-CPIO,C2,COMMERCIAL,0.0090977032855949,4.58561033833593e-06
79,C2-1XL-CPIO,C2,COMMERCIAL,0.0026614214256694,4.25937397201839e-07
80,(Q)C2-1,C2,COMMERCIAL,0.0013304704576445,9.17816963673325e-08
81,(Q)C2-1-O,C2,COMMERCIAL,0.000907579994278,4.34307034267975e-08
82,(Q)C2-2D-O,C2,COMMERCIAL,0.0012196776997414,7.09013602967429e-08
83,(Q)C2-1-SN,C2,COMMERCIAL,0.0012826640487276,1.05170894413616e-07
84,(Q)C2-1L,C2,COMMERCIAL,0.0013831539455644,1.18201238066406e-07
85,(Q)C2-1L-RIO,C2,COMMERCIAL,0.0006569722564614,2.5846119903356e-08
86,(Q)C2-1L,C2,COMMERCIAL,0.0008801508663039,4.54188530377986e-08
87,(Q)C2-1L,C2,COMMERCIAL,8.8299427395063e-05,4.57638719688339e-10
88,(Q)C2-1L,C2,COMMERCIAL,8.80465402532508e-05,4.54463119146375e-10
89,(Q)C2-1L,C2,COMMERCIAL,0.0024184997670329,3.62309560379159e-07
90,(Q)C2-1L,C2,COMMERCIAL,0.0042515191339903,1.04644901771261e-06
91,(Q)C2-1L,C2,COMMERCIAL,0.0010234040533925,5.72903550015425e-08
92,(Q)C2-1L,C2,COMMERCIAL,0.002537731008573,3.1835410695982e-07
93,(Q)C2-1LD,C2,COMMERCIAL,0.0033544390296664,4.25088627497164e-07
94,(Q)C2-1VL,C2,COMMERCIAL,0.0016907176957808,1.30236890988755e-07
95,QC2-1VL,C2,COMMERCIAL,0.0008837670374289,3.64853232771257e-08
96,QC2-1VL,C2,COMMERCIAL,0.000936836045416,4.55433919689405e-08
97,(Q)C2-1VL-RIO,C2,COMMERCIAL,0.0008087686027692,4.08674963964823e-08
98,(Q)C2-1VL-RIO,C2,COMMERCIAL,0.0011071731791519,5.31631458125656e-08
99,(Q)C2-1VL,C2,COMMERCIAL,0.0006820813565397,1.2914931635372e-08
100,[Q]C2-1VL-CDO,C2,COMMERCIAL,0.0034778191512638,4.75442761696352e-07
101,(Q)C2-1VL,C2,COMMERCIAL,0.0017439344584429,1.84875010681264e-07
102,(Q)C2-1VL,C2,COMMERCIAL,0.0015686034360183,1.58233499774926e-07
103,(Q)C2-1VL,C2,COMMERCIAL,0.0006787766732598,2.21115329020638e-08
104,(Q)C2-1VL-CUGU,C2,COMMERCIAL,0.0012775952492566,7.97469707303265e-08
105,(Q)C2-1VL,C2,COMMERCIAL,0.0025094856952645,1.63131162576928e-07
106,(Q)C2-1VL-CUGU,C2,COMMERCIAL,0.0042269250755673,7.90047625041264e-07
107,(Q)C2-1VL,C2,COMMERCIAL,0.0016420798287131,1.72983332144644e-07
108,(Q)C2-1VL,C2,COMMERCIAL,0.0015402126923152,1.20158200212449e-07
109,(Q)C2-1VL,C2,COMMERCIAL,0.0093921535962918,1.37607926729595e-06
110,(Q)C2-1VL,C2,COMMERCIAL,0.0030349871433463,3.41475052402006e-07
111,(Q)C2-1VL,C2,COMMERCIAL,0.0016682885066,1.46855319323957e-07
112,(Q)C2-1VL,C2,COMMERCIAL,8.04202493271451e-05,3.63847013835099e-10
113,(Q)C2-1VL,C2,COMMERCIAL,0.0002422671595615,3.63687527981961e-09
114,QC2-1VL,C2,COMMERCIAL,0.0026550831806968,3.38009692822794e-07
115,(Q)C2-1VL,C2,COMMERCIAL,0.000236683548583,3.41032784666408e-09
