id,Geographic Area Name,County,City,City Clean,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Dial-up with no other type of Internet subscription,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Dial-up with no other type of Internet subscription,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription,"Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Broadband such as cable, fiber optic or DSL",Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Satellite Internet service,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Satellite Internet service,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription,Notes
7950000US0603701,"Los Angeles County (North/Unincorporated)--Castaic PUMA, California",Los Angeles County (North/Unincorporated),"Castaic PUMA, California",Castaic ,N/A (Original Value 1),2251,80,135,36275,2251,30867,2221,4074,1171,30170,2004,4346,849,4356,1156,Data Entry Error
7950000US0603702,"Los Angeles County (Northwest)--Santa Clarita City PUMA, California",Los Angeles County (Northwest),"Santa Clarita City PUMA, California",Santa Clarita City ,60514,2244,0,216,60514,2244,56012,2292,8098,1549,50979,2174,4930,1148,3195,1080,
7950000US0603703,"Los Angeles County (North Central)--Lancaster City PUMA, California",Los Angeles County (North Central),"Lancaster City PUMA, California",Lancaster City ,44881,2428,595,499,44286,2497,27941,2500,4545,1045,37199,2675,5355,1268,7712,1847,
7950000US0603704,"Los Angeles County (North Central)--Palmdale City PUMA, California",Los Angeles County (North Central),"Palmdale City PUMA, California",Palmdale City ,41565,2078,461,485,41104,2123,34722,2360,5630,1480,33790,2011,3854,1007,4671,1036,
7950000US0603705,"Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch) PUMA, California",Los Angeles County (North),"LA City (Northwest/Chatsworth & Porter Ranch) PUMA, California",Northwest/Chatsworth & Porter Ranch,57105,2234,81,97,57024,2233,53758,2294,5548,1441,49729,2360,5993,1312,4243,1250,
7950000US0603706,"Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar) PUMA, California",Los Angeles County (North),"LA City (North Central/Granada Hills & Sylmar) PUMA, California",North Central/Granada Hills & Sylmar,37675,2335,27,45,37648,2337,35744,2296,3898,882,33410,2412,2124,668,3947,1134,
7950000US0603707,"Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA, California",Los Angeles County,"LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA, California",LA (North Central/Arleta & Pacoima) & San Fernando Cities ,29427,1991,89,104,29338,1980,27500,2088,4266,980,24423,2008,2283,664,5093,1238,
7950000US0603708,"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA; California",Los Angeles County (North),"LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA; California","Northeast/Sunland, Sun Valley & Tujunga",36104,2576,63,77,36041,2599,33632,2532,4298,829,30536,2408,3670,750,3670,1046,
7950000US0603709,"Los Angeles County (Central)--San Gabriel Valley Region (North) PUMA, California",Los Angeles County (Central),"San Gabriel Valley Region (North) PUMA, California",San Gabriel Valley Region (North) ,36288,2271,0,216,36288,2271,33992,2308,1817,567,33543,2209,4527,1097,3555,1255,
7950000US0603710,"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA; California",Los Angeles County,"Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA; California","Baldwin Park, Azusa, Duarte & Irwindale Cities ",42443,2218,208,157,42235,2237,40343,2191,7713,1136,33036,2287,5266,984,6739,1235,
