OBJECTID,Area_Acres,Park_ID,CD_Real,Address,Region,Name,Park_Class,CD_NEW,TOOLTIP,ACRES
1,8.4333635,512,03,23751 Ingomar St,V,Lazy J Ranch Park,N,12,Name: Lazy J Ranch Park\nLocation: 23751 Ingomar St,8.4333635
2,1.38737377,883,15,Adjacent to Angels Gate Park at 3400 Gaffey Street,P,Lookout Point Park,N,15,Name: Lookout Point Park\nLocation: Adjacent to Angels Gate Park at 3400 Gaffey Street,1.38737377
3,3.17386107,320,15,1464 E 109th Street,P,109th Street Recreation Center,N,15,Name: 109th Street Recreation Center\nLocation: 1464 E 109th Street,3.17386107
4,0.1548711,366,08,4726 8th Avenue,P,Angeles Mesa Park,N,8,Name: Angeles Mesa Park\nLocation: 4726 8th Avenue,0.1548711
5,0.96072542,213,09,4800 S. Hoover St,P,Julian C. Dixon Park,N,9,Name: Julian C. Dixon Park\nLocation: 4800 S. Hoover St,0.96072542
6,0.34030051,851,14,624 E. 6th Street,M,6th & Gladys Street Park,N,14,Name: 6th & Gladys Street Park\nLocation: 624 E. 6th Street,0.34030051
7,16.45926122,383,08,8800 S Hoover Street,P,Algin Sutton Recreation Center,C,8,Name: Algin Sutton Recreation Center\nLocation: 8800 S Hoover Street,16.45926122
8,60.4493581,751,12,18041 Rinaldi St,V,Aliso Canyon Park,R,12,Name: Aliso Canyon Park\nLocation: 18041 Rinaldi St,60.4493581
9,0.04295563,852,14,1304 Pleasant Avenue,M,Aliso Triangle,N,14,Name: Aliso Triangle\nLocation: 1304 Pleasant Avenue,0.04295563
10,6.65413078,500,03,22102 Alizondo Dr,V,Alizondo Drive Park,N,3,Name: Alizondo Drive Park\nLocation: 22102 Alizondo Dr,6.65413078
11,1.93660659,700,01,817 Yale St.,M,Alpine Recreation Center,N,1,Name: Alpine Recreation Center\nLocation: 817 Yale St.,1.93660659
12,0.90997057,701,01,1342 South Alvarado Terrace,M,Alvarado Terrace Park,N,1,Name: Alvarado Terrace Park\nLocation: 1342 South Alvarado Terrace,0.90997057
13,1.61883222,317,15,828 S. Mesa St.,P,Anderson Memorial Senior Citizen Center,N,15,Name: Anderson Memorial Senior Citizen Center\nLocation: 828 S. Mesa St.,1.61883222
14,2.19884341,550,07,10940 N Sepulveda Blvd,V,Andres Pico Adobe,N,7,Name: Andres Pico Adobe\nLocation: 10940 N Sepulveda Blvd,2.19884341
15,1.43585094,110,11,15920 Asilomar Blvd,W,Palisades-Asilomar Park,N,11,Name: Palisades-Asilomar Park\nLocation: 15920 Asilomar Blvd,1.43585094
16,10.74680555,166,15,1300 Dodson Ave.,P,Averill Park,C,15,Name: Averill Park\nLocation: 1300 Dodson Ave.,10.74680555
17,152.65598594,806,06,16821 Burbank Blvd,V,Balboa Golf Course,R,6,Name: Balboa Golf Course\nLocation: 16821 Burbank Blvd,152.65598594
18,10.86787423,167,10,5401 Highlight Place,W,Baldwin Hills Recreation Center,C,10,Name: Baldwin Hills Recreation Center\nLocation: 5401 Highlight Place,10.86787423
19,21.09132548,313,15,1331 Eubank Ave.,P,Banning Park,C,15,Name: Banning Park\nLocation: 1331 Eubank Ave.,21.09132548
20,14.59294107,226,13,4800 Hollywood Blvd,M,Barnsdall Park,C,13,Name: Barnsdall Park\nLocation: 4800 Hollywood Blvd,14.59294107
21,18.64279132,108,11,333 S Barrington Ave,W,Barrington Recreation Center,C,11,Name: Barrington Recreation Center\nLocation: 333 S Barrington Ave,18.64279132
